name,rank,latitude,longitude,is_duplicate_name
MERTI,136,1.0611702,38.6660903,False
KEROKA,137,-0.7771138,34.9458389,False
KILGORIS,138,-1.006268,34.8789697,False
MATUNDA,139,0.8272566000000001,35.1206893,False
GITHUNGURI,140,-1.0566569,36.778542,True
TIMAU,141,0.0854987,37.2383506,False
LOITOKTOK,142,-2.924797,37.508143,False
KAINUK,143,1.7765218,35.5028379,False
SUBUKIA,144,-0.0018807,36.2278245,False
SINDO,145,-0.5417807,34.1657107,False
KANGUNDO,146,-1.3055671,37.3453215,False
KIMANA,147,-2.7991749,37.5365723,False
KWALE,148,-4.1816115,39.4605612,False
CHWELE,149,0.7358836,34.5777565,False
MWATATE,150,-3.5032932,38.3639837,False
SALGAA,151,-0.023559,37.906193,False
MARIGAT,152,0.4694721000000001,35.98327430000001,False
KUTUS,153,-0.5726926999999999,37.3258625,False
SULTAN HAMUD,154,-2.0179172,37.3758212,False
MARAGUA,155,-0.7967611,37.1298422,False
KIBWEZI,156,-2.4105236,37.96784700000001,False
RODI KOPANY,157,-0.6256742,34.5043672,False
NARO MORU,158,-0.1661137,37.021246,False
NANDI HILLS,159,0.1030731,35.176372,False
USENGE,160,-0.0676755,34.0557887,False
GATUNDU,161,-1.0130645,36.9050566,False
GIRIFTU,162,1.993701,39.732712,False
BROOKE BOND,163,-0.023559,37.906193,False
IL BISSIL,164,-2.25624,36.8250274,False
SOLOLO,165,3.561454,38.6441867,False
NKUBU,166,-0.0646591,37.667929,False
CHOGORIA,167,-0.2298457,37.6264419,False
BUTERE,168,0.2198155,34.4918988,False
SHIANDA,169,0.3193134,34.5708356,False
MUHORONI,170,-0.1565104,35.1874594,False
GARSEN,171,-2.2694764,40.1107088,False
MARERENI,172,-2.7864232,40.1247931,False
KAPSOKWONY,173,0.8410654,34.7151012,False
UGUNJA,174,0.1811028,34.2966264,False
SORI,175,-0.8087152999999999,34.1587576,False
KALOLENI,176,-3.8148404,39.6285874,False
SONDU,177,-0.3900075,35.0140324,False
KIMBIMBI,178,-0.6204365,37.3653607,False
MASENO,179,-0.00663,34.5979756,False
OTHAYA,180,-0.5490317,36.9430557,False
MUKURWEINI,181,-0.5612305,37.0510725,False
MWISHO WA RAMI,182,-0.023559,37.906193,False
BURA EAST,183,-1.4992288,40.0343255,False
KANGEMA,184,-0.6846099999999999,36.9635102,False
KENDU BAY,185,-0.3695085,34.6502311,False
TING'ANG'A,186,-1.1364396,36.8088765,False
LOLGORIAN,187,-1.230912,34.8099773,False
KIJAURI,188,-0.7520707999999999,35.0182115,False
CHAKA,189,-0.023559,37.906193,False
MPEKETONI,190,-2.3904853,40.6968426,False
KINANGO,191,-4.139338599999999,39.3180297,False
MTITO ANDEI,192,-2.6917308,38.1662152,False
OLOLUNGA,193,-1.0008803,35.6314191,False
GITHIGA,194,-1.0718783,36.7280692,False
RIRONI,195,-1.1596471,36.63895309999999,False
NDUNDORI,196,-0.2188589,36.25223709999999,False
CHEBILAT,197,-0.6348187,35.2203419,False
LAARE,198,0.4450349,37.8512309,False
ENGINEER,199,-0.023559,37.906193,False
LOIYANGALANI,200,2.7603913,36.7199836,False
NORTH HORR,201,3.3211012,37.0725888,False
MAJI MAZURI,202,-1.2279466,36.92925,False
MALAVA,203,0.4450431,34.8541389,False
KATITO,204,-0.3398088,34.8181012,False
AWASI,205,-0.1616445,35.0732265,False
LAISAMIS,206,1.5962079,37.8061146,False
NAIRAGIE NGARE,207,-1.041035,36.151581,False
RUNYENJES,208,-0.4223518,37.5721011,False
MUHURI BAY,209,-0.023559,37.906193,False
MUSORIOT,210,0.3189327,35.1667505,False
KINAMBA,211,0.4131607,36.3213639,False
KERINGET,212,-0.4260762,35.6901698,False
NDHIWA,213,-0.7298697,34.3671172,False
TIMBOROA,214,0.0854953,35.5302127,False
BURNT FOREST,215,0.2153963,35.4316201,False
MAUNGU,216,-3.5650324,38.7525257,False
KEBIRIGO,217,-0.6027575,34.9603088,False
KAPSOWAR,218,0.948567,35.5084609,False
ILLASIT,219,-2.9600288,37.5714735,False
JUA KALI,220,-1.0491886,37.0953627,False
